source,Code,Name,Definition,Status,Start Year,End Year,Tag Code Mask,Manufacturer
CaptureMethod.csv,BPRCOL,Bypass Facility Raceway Collection,,,,,,
CaptureMethod.csv,BPSUB,Bypass Sub-Sample,,,,,,
CaptureMethod.csv,BSEINE,Beach Seine,,,,,,
CaptureMethod.csv,BTRAP,Box Trap,,,,,,
CaptureMethod.csv,CMTRAP,Cray-Meeken Trap,,,,,,
CaptureMethod.csv,CREEL,Sport Fishery,,,,,,
CaptureMethod.csv,DIPNET,Dip Net,,,,,,
CaptureMethod.csv,DIPTRP,Dipper Trap,,,,,,
CaptureMethod.csv,DIVSYS,Diversion System,,,,,,
CaptureMethod.csv,FYKNET,Fyke Net,,,,,,
CaptureMethod.csv,GILNET,Gillnet Fishery or Research,,,,,,
CaptureMethod.csv,GWAIRL,Gatewell Airlift,,,,,,
CaptureMethod.csv,GWDIP,Gatewell Dip Net,,,,,,
CaptureMethod.csv,GWFYKE,Gatewell Fyke Net,,,,,,
CaptureMethod.csv,HATCH,Hatchery Returns,,,,,,
CaptureMethod.csv,HATRAK,Hatchery Rack,,,,,,
CaptureMethod.csv,HOOK,Hook and Line,,,,,,
CaptureMethod.csv,LADDER,Adult Passage Ladder,,,,,,
CaptureMethod.csv,LNGLIN,Longline,,,,,,
CaptureMethod.csv,MTRAP,Minnow Trap,,,,,,
CaptureMethod.csv,NONE,Not Applicable,,,,,,
CaptureMethod.csv,PAFFC,Pump Assisted Floating Fish Collector,,,,,,
CaptureMethod.csv,POUND,Pound Net,,,,,,
CaptureMethod.csv,PRED,Predation Mark Recovery,,,,,,
CaptureMethod.csv,PSEINE,Purse Seine,,,,,,
CaptureMethod.csv,SCOTRP,Scoop Trap,,,,,,
CaptureMethod.csv,SCREWT,Screw Trap,,,,,,
CaptureMethod.csv,SETNET,Set Net,,,,,,
CaptureMethod.csv,SHOCK,Electro-Shock,,,,,,
CaptureMethod.csv,SURVEY,Spawning Survey,,,,,,
CaptureMethod.csv,TNGLNT,Tangle net fishery or research,,,,,,
CaptureMethod.csv,TRAWL,Trawl Net,,,,,,
CaptureMethod.csv,TROLL,Ocean Troll Fishery,,,,,,
CaptureMethod.csv,WTRAP,Weir Trap,,,,,,
ConditionalComment.csv,>2,Descaled Greater than 20%,Fish has lost more than 20% of its scales on either side.,,,,,
ConditionalComment.csv,<2,Descaled Between 11 and 20%,Fish has lost between 11% and 20% of its scales on either side.,,,,,
ConditionalComment.csv,0,Possible 0-Aged Chinook,Fish is possibly a subyearling or zero-age Chinook.,,,,,
ConditionalComment.csv,1>,Descaled Greater than 10 Percent,Fish has lost greater than 10% of its scales on either side.,,,,,
ConditionalComment.csv,1<,Descaled Less than 10 Percent,"Fish has lost less than 10% of its scales on either side, but generally more than 3%.",,,,,
ConditionalComment.csv,1P,Descaled - Patchy,Fish has lost scales in patches.,,,,,
ConditionalComment.csv,1S,Descaled - Scattered,Fish has lost scales in areas scattered across the body.,,,,,
ConditionalComment.csv,AD,Adipose Fin Clip,Adipose fin clip present or applied during the current PIT tag event.,,,,,
ConditionalComment.csv,AF,Adipose Fin Damage,Fish has damage to the adipose fin.,,,,,
ConditionalComment.csv,AI,Adipose Intact (not clipped),Fish has an intact adipose fin; fin has not been removed or clipped.,,,,,
ConditionalComment.csv,AL,Adult Lamprey,Fish is a lamprey that has reached sexual maturity.,,,,,
ConditionalComment.csv,AM,Ammocoete Lamprey,"Fish is a juvenile lamprey in the larval stage, which is characterized by the presence of an oral hood and the lack of a sucking disk, teeth and developed eyes.",,,,,
ConditionalComment.csv,AN,Anal Fin Damage,Fish has damage to the anal fin.,,,,,
ConditionalComment.csv,AT,Tagged as Adult,Fish was first marked with a PIT tag as an adult fish during the current PIT tag event.,,,,,
ConditionalComment.csv,B,Bleeding after Tagged,Fish was observed to be bleeding subsequent to being marked with a PIT tag.,,,,,
ConditionalComment.csv,BL,Bloated,Fish has a bloated appearance.,,,,,
ConditionalComment.csv,BR,Brood Stock,Fish was retained to be used at a hatchery to produce eggs and young.,,,,,
ConditionalComment.csv,BS,Body Scars,Fish has scars on its body.,,,,,
ConditionalComment.csv,BT,Bare Tag Recovered after Release,Bare tag was recovered (e.g. from raceway or separator at juvenile bypass facility) after tagged fish released.,,,,,
ConditionalComment.csv,BW,Blank Wire Tag,Blank coded wire tag present or applied during the current PIT tag event.,,,,,
ConditionalComment.csv,CA,Caudal Fin Damage,Fish has damage to the caudal fin.,,,,,
ConditionalComment.csv,CL,Lower Caudal Lobe Clip,Lower caudal fin clip present or applied during the current PIT tag event.,,,,,
ConditionalComment.csv,CP,Coded Wire Tag (Peduncle),A coded wire tag in the caudal peduncle either present or applied during the current PIT tag event.,,,,,
ConditionalComment.csv,CU,Upper Caudal Lobe Clip,Upper caudal fin clip present or applied during the current PIT tag event.,,,,,
ConditionalComment.csv,CW,Coded Wire Tag,Coded wire tag present or applied during the current PIT tag event.,,,,,
ConditionalComment.csv,CY,Cyst,Fish has a cyst.,,,,,
ConditionalComment.csv,D,Dropped,Fish was dropped during PIT-tagging. Fish or tag may be damaged.,,,,,
ConditionalComment.csv,DB,Double PIT-tagged,Fish has been implanted with two PIT tags.,,,,,
