sourceDataSystem,fieldName,codeName,codeDefinition,definitionSource,comments,
CAP HLI,CommonName,Bull Trout,Bull Trout,CoordinatedAssessmentsDES20200715,none,
CAP HLI,CommonName,Chinook salmon,Chinook salmon,CoordinatedAssessmentsDES20200715,none,
CAP HLI,CommonName,Chum salmon,Chum salmon,CoordinatedAssessmentsDES20200715,none,
CAP HLI,CommonName,Coho salmon,Coho salmon,CoordinatedAssessmentsDES20200715,none,
CAP HLI,CommonName,Sockeye salmon,Sockeye salmon,CoordinatedAssessmentsDES20200715,none,
CAP HLI,CommonName,Steelhead,Steelhead,CoordinatedAssessmentsDES20200715,none,
CAP HLI,ESU_DPS,Steelhead (Upper Columbia River DPS),Steelhead (Upper Columbia River DPS),https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,ESU_DPS,Steelhead (Snake River Basin DPS),Steelhead (Snake River Basin DPS),https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,ESU_DPS,Steelhead (Middle Columbia River DPS--XN),Steelhead (Middle Columbia River DPS--XN),https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,ESU_DPS,Steelhead (Middle Columbia River DPS),Steelhead (Middle Columbia River DPS),https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,ESU_DPS,"Salmon, sockeye (Snake River ESU)'","Salmon, sockeye (Snake River ESU)'",https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,ESU_DPS,"Salmon, Chinook (Upper Columbia River spring-run ESU--XN)'","Salmon, Chinook (Upper Columbia River spring-run ESU--XN)'",https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,ESU_DPS,"Salmon, Chinook (Upper Columbia River spring-run ESU)'","Salmon, Chinook (Upper Columbia River spring-run ESU)'",https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,ESU_DPS,"Salmon, Chinook (Snake River spring/summer-run ESU)'","Salmon, Chinook (Snake River spring/summer-run ESU)'",https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,ESU_DPS,"Salmon, Chinook (Snake River fall-run ESU)'","Salmon, Chinook (Snake River fall-run ESU)'",https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,ESU_DPS,"Salmon, coho (Oregon Coast ESU)'","Salmon, coho (Oregon Coast ESU)'",https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,ESU_DPS,Steelhead (Puget Sound DPS),Steelhead (Puget Sound DPS),https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,ESU_DPS,"Salmon, sockeye (Ozette Lake ESU)'","Salmon, sockeye (Ozette Lake ESU)'",https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,ESU_DPS,"Salmon, chum (Hood Canal summer-run ESU)'","Salmon, chum (Hood Canal summer-run ESU)'",https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,ESU_DPS,"Salmon, Chinook (Puget Sound ESU)'","Salmon, Chinook (Puget Sound ESU)'",https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,ESU_DPS,Steelhead (Upper Willamette River DPS),Steelhead (Upper Willamette River DPS),https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,ESU_DPS,Steelhead (Lower Columbia River DPS),Steelhead (Lower Columbia River DPS),https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,ESU_DPS,"Salmon, coho (Lower Columbia River ESU)'","Salmon, coho (Lower Columbia River ESU)'",https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,ESU_DPS,"Salmon, chum (Columbia River ESU)'","Salmon, chum (Columbia River ESU)'",https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,ESU_DPS,"Salmon, Chinook (Upper Willamette River ESU)'","Salmon, Chinook (Upper Willamette River ESU)'",https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,ESU_DPS,"Salmon, Chinook (Lower Columbia River ESU)'","Salmon, Chinook (Lower Columbia River ESU)'",https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,North Cascades,North Cascades,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
