sourceDataSystem,containingTable,fieldName,fieldDataType,fieldDefiniton,fieldCodes,referenceDoc,hasCodes,comments,
CAP HLI,NOSA,CommonName,Text 50,Common name of the taxon of fish.,Enter the name of the taxon here even if taxon name is included in the name of the population. Select from the following: Bull Trout; Chinook salmon; Chum salmon; Coho salmon; Sockeye salmon; Steelhead; Additional species may be added in the future: refer to http://old.streamnet.org/SpeciesInFW.html for common names.,CoordinatedAssessmentsDES20200715 A1,Yes,link in 'fieldCodes' is broken. new link is https://www.streamnet.org/resources/nw-fish/fish-species/,
CAP HLI,SAR,CommonName,Text 50,Common name of the taxon of fish.,Enter the name of the taxon here even if taxon name is included in the name of the population. Select from the following: Bull Trout; Chinook salmon; Chum salmon; Coho salmon; Sockeye salmon; Steelhead; Additional species may be added in the future: refer to http://old.streamnet.org/SpeciesInFW.html for common names.,CoordinatedAssessmentsDES20200715 A2,Yes,link in 'fieldCodes' is broken. new link is https://www.streamnet.org/resources/nw-fish/fish-species/,
CAP HLI,SAR,ESU_DPS,Text 255,For populations listed under the federal ESA this is the name of a defined Evolutionarily Significant Unit (ESU) or Distinct Population Segment (DPS) as defined by NMFS Northwest Region or by USFWS.  For non-listed populations this is the DPS or other name.,Enter the name of the ESU or DPS here.  Entries in this field are taxonomic divisions defined by NMFS or USFWS and may be at the species subspecies or finer scale.  ESUs of salmon north of California are listed at https://web.archive.org/web/*/http://www.nwfsc.noaa.gov/trt/.,CoordinatedAssessmentsDES20200715 A2,Yes,Codes in 'ca-populations' file.,
CAP HLI,SAR,MajorPopGroup,Text 255,"Name of ""major population group"" (MPG) or “stratum” as defined by the NMFS Northwest Region in which the population falls.","The term ""stratum"" is used in the Willamette/Lower Columbia Recovery Domain while ""major population group"" is used in other areas.  The term ""stratum"" includes life history considerations as well as geographic criteria while MPGs are defined geographically.  See Appendix C for the list of MPGs / strata.",CoordinatedAssessmentsDES20200715 A2,Yes,Appendix C is 'ca-populations' file.,
CAP HLI,RperS,CommonName,Text 50,Common name of the taxon of fish.,Enter the name of the taxon here even if taxon name is included in the name of the population. Select from the following: Bull Trout; Chinook salmon; Chum salmon; Coho salmon; Sockeye salmon; Steelhead; Additional species may be added in the future: refer to http://old.streamnet.org/SpeciesInFW.html for common names.,CoordinatedAssessmentsDES20200715 A3,Yes,link in 'fieldCodes' is broken. new link is https://www.streamnet.org/resources/nw-fish/fish-species/,
CAP HLI,RperS,ESU_DPS,Text 255,For populations listed under the federal ESA this is the name of a defined Evolutionarily Significant Unit (ESU) or Distinct Population Segment (DPS) as defined by NMFS Northwest Region or by USFWS.  For non-listed populations this is the DPS or other name.,Enter the name of the ESU or DPS here.  Entries in this field are taxonomic divisions defined by NMFS or USFWS and may be at the species subspecies or finer scale.  ESUs of salmon north of California are listed at https://web.archive.org/web/*/http://www.nwfsc.noaa.gov/trt/.,CoordinatedAssessmentsDES20200715 A3,Yes,none,
CAP HLI,RperS,MajorPopGroup,Text 255,"Name of ""major population group"" (MPG) or “stratum” as defined by the NMFS Northwest Region in which the population falls.","The term ""stratum"" is used in the Willamette/Lower Columbia Recovery Domain while ""major population group"" is used in other areas.  The term ""stratum"" includes life history considerations as well as geographic criteria while MPGs are defined geographically.  See Appendix C for the list of MPGs / strata.",CoordinatedAssessmentsDES20200715 A3,Yes,Appendix C is 'ca-populations' file.,
CAP HLI,JuvenileOutmigrants,CommonName,Text 50,Common name of the taxon of fish.,Enter the name of the taxon here even if taxon name is included in the name of the population. Select from the following: Bull Trout; Chinook salmon; Chum salmon; Coho salmon; Sockeye salmon; Steelhead; Additional species may be added in the future: refer to http://old.streamnet.org/SpeciesInFW.html for common names.,CoordinatedAssessmentsDES20200715 A4.1,Yes,link in 'fieldCodes' is broken. new link is https://www.streamnet.org/resources/nw-fish/fish-species/,
CAP HLI,JuvenileOutmigrants,ESU_DPS,Text 255,For populations listed under the federal ESA this is the name of a defined Evolutionarily Significant Unit (ESU) or Distinct Population Segment (DPS) as defined by NMFS Northwest Region or by USFWS.  For non-listed populations this is the DPS or other name.,Enter the name of the ESU or DPS here.  Entries in this field are taxonomic divisions defined by NMFS or USFWS and may be at the species subspecies or finer scale.  ESUs of salmon north of California are listed at https://web.archive.org/web/*/http://www.nwfsc.noaa.gov/trt/.,CoordinatedAssessmentsDES20200715 A4.1,Yes,none,
CAP HLI,JuvenileOutmigrants,MajorPopGroup,Text 255,"Name of ""major population group"" (MPG) or “stratum” as defined by the NMFS Northwest Region in which the population falls.","The term ""stratum"" is used in the Willamette/Lower Columbia Recovery Domain while ""major population group"" is used in other areas.  The term ""stratum"" includes life history considerations as well as geographic criteria while MPGs are defined geographically.  See Appendix C for the list of MPGs / strata.",CoordinatedAssessmentsDES20200715 A4.1,Yes,Appendix C is 'ca-populations' file.,
